	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S2_S128_L001_R2_001	24.0	29.0	222.0	780.0	196.0	53.0	3.0	1.0	1.0	1.0	1.0	5.0	0.0	6.0	2.0	0.0	1.0	1.0	49.0	20.0	1.0	0.0	15.0	0.0	0.0	0.0	1217.0	19836.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S3_S129_L001_R1_001	782.0	248.0	1318.0	5776.0	155.0	32.0	5.0	2.0	26.0	6.0	2.0	36.0	3.0	4.0	7.0	4.0	1.0	6.0	124.0	47.0	11.0	6.0	116.0	3.0	2.0	5.0	18422.0	68351.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-075-S3_S129_L001_R2_001	139.0	178.0	1098.0	5038.0	226.0	138.0	6.0	1.0	19.0	6.0	2.0	25.0	3.0	50.0	12.0	4.0	1.0	5.0	51.0	16.0	11.0	4.0	96.0	0.0	1.0	1.0	5509.0	82860.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B1_S136_L001_R1_001	473.0	284.0	989.0	1843.0	59.0	122.0	9.0	4.0	18.0	6.0	4.0	20.0	12.0	1.0	3.0	0.0	8.0	7.0	155.0	59.0	4.0	0.0	62.0	5.0	0.0	4.0	1625.0	26286.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B1_S136_L001_R2_001	127.0	258.0	963.0	1908.0	179.0	99.0	6.0	2.0	7.0	1.0	3.0	14.0	9.0	10.0	2.0	0.0	9.0	6.0	36.0	15.0	4.0	1.0	51.0	4.0	0.0	0.0	1705.0	26643.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B2_S137_L001_R1_001	3774.0	665.0	5808.0	6440.0	359.0	224.0	18.0	23.0	71.0	22.0	42.0	16.0	20.0	27.0	10.0	16.0	7.0	36.0	151.0	45.0	12.0	23.0	416.0	34.0	8.0	16.0	5366.0	83643.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B2_S137_L001_R2_001	894.0	540.0	4746.0	5660.0	492.0	637.0	33.0	13.0	39.0	10.0	36.0	11.0	14.0	41.0	9.0	14.0	5.0	34.0	63.0	14.0	10.0	14.0	330.0	19.0	5.0	14.0	6059.0	87536.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
230929-COI-COL-076-B3_S138_L001_R1_001	806.0	826.0	1126.0	4611.0	112.0	94.0	8.0	6.0	23.0	1.0	1.0	11.0	0.0	1.0	0.0	2.0	1.0	3.0	118.0	25.0	15.0	3.0	6.0	3.0	3.0	4.0	2176.0	50596.0
	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
